vivae1,vivae2
0.62798643,1.9608225
0.40323374,2.7895072
-0.5315558,2.4316578
-2.5277433,1.7186254
2.0762875,1.8136408
-0.9410222,1.6319853
-1.06955,1.3264968
-1.3282559,1.5469093
-1.8652561,-1.7981517
-0.48198903,-0.2641457
-1.1416439,2.8224454
0.19349092,1.4095656
-0.78995705,-3.1644793
1.9567534,0.82592607
-1.1227416,1.9321727
0.8642846,1.281999
-1.5602397,2.611982
0.95780104,1.8171896
3.5609136,1.4081187
-0.38544634,0.7194108
-0.61786675,-2.650122
-1.7101521,2.653997
-1.3114828,2.1218317
-0.73565936,1.3299819
1.8346162,-2.0362167
0.16354302,2.0793657
-0.46422845,1.1866319
0.10784352,1.7450262
0.58597296,1.8203905
0.2086086,-0.078336656
-1.4920471,-0.9153038
-0.72114694,-3.2226956
-1.7913613,-1.7233771
1.3792819,3.5379317
0.70807225,-3.4877055
-1.1640596,-1.8821679
-1.9025108,-1.953208
-1.1026977,1.3460389
-1.025544,-0.74820733
-0.4382093,1.9709419
0.7908694,-0.917186
-0.5536306,-3.0825303
0.899888,-0.6076716
0.14109713,3.326518
0.5497565,-0.042060144
-1.3081185,-2.3519657
-1.6317681,-1.631668
2.9016838,-1.3771261
0.6211078,0.9008322
1.3415797,-0.3108576
0.66667795,1.5934107
0.76939565,-0.24018468
-1.2285732,-1.8993137
1.4588076,-0.25599396
1.962495,-2.4061453
-1.35801,-1.263591
1.5530549,1.344872
-0.7144614,3.04173
-0.74398875,2.0271466
0.09612071,1.8274919
1.696923,0.07399896
2.761109,-1.1748606
0.23265973,-0.9046215
-1.3144196,-3.044592
-1.8206625,-2.1356826
-0.27603093,0.48673472
-0.75434303,-3.0991302
-0.14116561,1.5653514
3.655494,2.044431
3.095883,1.2855469
-1.7436941,1.1950779
1.1233312,-1.2488049
-0.8756131,0.57671523
0.48855835,1.4986091
0.24399197,-0.34019473
1.7963405,0.3833255
0.40059018,-0.99232244
1.9328984,-0.6189408
-0.98476225,1.0627128
-0.19072527,2.1960933
-1.0379522,0.64549613
-0.61629945,-0.408393
1.3346351,-1.2235837
-1.2878996,1.7628683
-0.8602141,-0.39646712
-0.8569029,-1.7288214
-1.7769209,-2.8665457
-0.18019071,2.4168043
-1.5017517,1.5983067
0.8131359,0.6756612
-0.78457206,-2.383524
-1.031095,-2.6823585
-1.3706957,-0.8050127
-2.0865648,-1.3376528
0.9433869,1.0396599
0.47001326,2.2557325
-0.7321582,1.9069055
-1.4988129,2.1757164
-0.14850819,-0.7871661
2.7171776,0.065019414
2.2306263,2.1194746
-1.7310035,-1.3349215
-0.90516526,1.4346801
-0.34173143,2.7286155
2.6418736,1.2692136
2.3837824,-3.0112429
-0.29647812,2.375844
-0.026660994,1.8856989
-0.06335182,1.875234
-0.38480598,1.6271796
-0.8900003,-2.0934534
-0.49313205,3.0733938
0.09511704,-0.24530922
-0.19973555,-0.7123842
0.8907809,2.3722045
3.6899233,-2.1690376
-0.56410456,2.6413763
-0.70216817,-0.80331254
-0.9774125,-3.9976265
-0.043479607,1.3323953
-0.03614135,-0.48247996
-0.74029326,-0.52882504
0.65640473,2.1381903
0.24897018,0.86755455
-1.2635792,3.131083
3.302329,-0.68245375
-2.441234,-2.1108215
-0.8008545,2.311652
1.810129,-2.066656
-0.017245471,2.0834408
-0.48970097,-2.3549056
-1.4500452,2.274113
-1.7813288,-1.1494604
0.94137084,1.9733845
-0.5934167,1.1542118
-0.6025602,-0.6851115
-0.43387544,-2.629037
0.58800024,-0.5828801
-1.8486123,2.5415192
-0.65329367,-0.76903963
0.06685045,1.0618805
0.15980563,2.3948822
0.600177,-0.47223815
-1.5737773,0.85268915
-1.341574,-0.7473239
-1.0001153,2.1958382
-1.1958935,1.6609342
-0.6898148,-2.6161222
0.19702625,0.1537438
-1.6482373,1.1110154
0.17688191,-0.81568265
-1.4401351,-2.2520251
-1.2026219,-0.9217894
0.3471608,0.102510706
-0.28118256,-1.5254153
-1.0654792,-1.5498137
-0.44107926,2.6365337
-0.39100534,1.836362
-0.89576757,1.3879542
1.3625733,-1.7171474
0.11210537,-0.9035846
-0.07869051,-0.17451814
-0.78911555,-0.7830341
1.5048132,-0.39609596
0.09777881,1.8018378
1.3138882,0.47453335
-0.30765042,-2.3529155
-1.5311204,2.4624736
2.0212805,-0.87552214
-0.21410936,-2.4428582
0.4884083,1.2384691
-0.031263202,-0.049887158
0.35686412,-0.9872422
1.269179,2.1803873
-0.9671622,-2.59085
1.6289357,-2.8009014
0.8586841,0.5880736
-0.39158675,2.2160811
0.037127327,-0.639043
-0.9320373,-0.76077926
-1.2129575,-2.0334358
-0.748634,-0.7252115
-0.0741078,2.415057
2.3510492,-2.652138
-0.31810164,3.035254
-0.6542104,-0.7860162
0.031809103,2.2811284
-1.0633711,1.1661441
-1.3641437,-2.3850203
2.524121,-0.42584017
-0.09606103,2.1611433
-2.2016563,-2.2327724
-0.37903965,0.68172777
0.92335576,-0.40184215
0.8259887,-0.87033033
-0.3817115,1.094513
-1.5434391,-1.7261738
-0.47586,1.1481141
-0.9761726,-2.5578618
-0.9707262,-0.9401834
1.9339353,0.64413273
-1.6832179,-1.1532402
0.13505983,-0.5280653
-0.53034365,0.694167
-0.63971096,1.4471012
-1.3338625,-3.3943706
1.2283882,2.3837266
1.4001108,0.33745256
-1.9211265,1.2251047
-1.3229425,0.9364656
-0.25292203,-0.49023804
-1.040432,1.7842854
1.498599,1.4584601
1.9266453,-2.6782842
0.0733629,-3.675681
-0.9303464,-2.6723678
-1.2512397,3.1011732
0.45660004,-0.14404511
0.17196265,0.67281616
0.7399666,1.2384899
1.7624923,0.4307494
-1.3549556,1.2170663
-0.7769787,-2.975921
2.9596992,-1.7888743
-2.054039,1.6015261
-1.6851578,2.1306703
-0.9295396,1.988151
0.39937904,-0.12943688
-1.2393091,1.1403047
-1.0522299,-2.120616
-0.13703692,-1.9415408
-1.3312013,1.1632645
-0.74662095,-1.8694445
-0.5701318,3.0226996
-1.225998,-0.51336575
-1.393417,2.5273395
0.1549659,-0.02240865
-1.0419701,1.9291023
3.4707797,-0.7670038
0.6445746,1.675819
-1.2080408,-2.234553
-0.21217942,2.0786781
1.0944318,2.0517333
0.055029176,-0.105776966
-0.6194367,2.4027426
-0.20137373,1.5213894
-0.2467418,1.7492632
-0.94390994,-1.8989723
3.23732,-0.30465373
0.6365186,1.0075345
-0.60573596,1.1400981
0.05516932,1.3199226
-1.7972217,1.1190253
-1.5450007,0.76976895
0.03257773,2.1112359
-0.29344073,2.6486843
0.19288614,-1.8448182
-0.20742857,2.4072394
2.685548,-0.6928878
-1.0416739,-1.9943217
3.0401561,0.21608701
-1.2407601,1.4255574
-0.17067558,-0.61103636
-1.715989,-1.5726268
-0.58152735,-0.7829219
-1.0320756,1.2862666
0.009481221,-2.2363281
-0.8035891,-3.119407
-0.22572604,1.2582437
-0.6070985,-0.4659857
0.87114173,1.4897809
-1.5555984,0.9952276
1.1143883,2.6175718
-0.55267406,1.3057915
1.7751821,-1.9249966
-0.66643447,1.3625697
-1.6791452,1.765196
-0.58891916,-0.52292776
-0.68540144,2.5757256
3.0225272,-1.4790548
0.06489551,2.5298414
-0.3214755,1.7719805
-1.1758379,-0.64640224
3.1365907,-1.7356083
-1.0714215,1.6828684
-0.95464367,1.2575897
0.16039139,-0.42341885
0.010795251,-1.2015581
3.053561,1.165385
1.017309,-1.1103888
0.045295645,3.5320058
-0.7373572,-0.4500376
-1.7808824,-1.5783268
-1.8829358,2.3132398
-0.32218897,0.93778133
-1.9435956,-1.8840734
-0.8387362,-2.1345124
-0.7950115,-0.7359816
-0.658621,-0.37839004
-0.8295808,2.6251395
3.1532068,-0.16187127
0.14635715,2.913993
-0.97941214,0.8188745
-1.5629928,-1.8296043
0.46817023,2.2678022
-1.1049308,-0.9701482
0.017821971,2.3941987
0.57035184,-0.33633122
-1.0136031,-1.3423581
-0.9304274,0.4252731
0.14589098,-0.08568114
-0.4448086,-2.8817098
-2.2776022,0.878677
1.6757566,2.6025882
1.1065338,-0.3293485
0.31163815,2.1987302
-1.1103138,-2.0970657
-1.9912624,-1.8497053
0.50773585,2.3971655
3.0916362,-1.1376631
-0.24672061,-0.697783
-0.62133664,0.75583506
-0.33319774,-0.49878737
1.1214446,2.5464733
0.9002602,2.6001775
0.72391075,1.7563462
-1.221747,1.7223954
-0.9906594,1.4375839
-1.6919355,1.2296431
-0.99119073,-0.6331036
1.1406196,-0.11723556
-0.102719,-0.33142522
-0.49199623,-2.6948235
