umap1,umap2
7.665693,-0.6953234
-0.64229417,2.0844774
2.2644715,9.98532
-1.7920715,-1.2550373
10.986747,-2.0042639
-3.643815,4.940985
-1.9054142,-7.492812
9.524725,-0.80930793
14.813298,-3.6048734
13.073898,-3.0090494
10.142401,-2.3424861
9.384025,-2.49952
13.8419285,-2.5706356
2.7881255,3.941255
2.497696,10.501745
-0.36409777,1.2698627
5.551609,0.80103654
-2.0221202,0.8657552
9.089236,-0.81494874
-0.264058,2.541868
8.785351,14.316384
14.072345,-2.112251
13.76372,-3.6828175
9.171177,-1.8469471
2.546346,10.555355
7.577751,-0.6250574
-7.214103,4.197271
10.413702,-2.0492635
-2.0024981,-8.282609
-2.3737957,-0.6551219
-2.2510023,3.7613678
15.075906,-3.070893
-2.4097018,-7.3739715
14.464269,-3.7535837
-1.9534637,4.2737203
4.0858283,2.2647333
-1.036742,0.98400134
7.826322,-0.83559304
5.6245465,0.74193996
-2.5408247,4.2717013
-1.6950095,0.60012805
5.5635786,0.7951021
8.781354,-2.3917627
-4.208636,4.450212
10.488942,-1.7073382
-2.039537,1.1968154
8.662484,-2.6713624
-2.0441382,-7.0355005
7.3779206,-0.64767987
5.08939,1.1854285
-1.4209547,0.6402677
14.398654,-3.32144
-2.5628335,4.4185834
-1.5915583,1.7486359
6.4456143,4.3480883
13.777725,-3.5438795
3.5822933,-3.8150425
13.530346,-2.0995395
-4.106926,3.9152672
-4.503782,5.2803745
6.923382,4.003164
-3.8301058,5.577985
14.118051,-2.8745623
15.115792,-3.7190068
15.2602625,-3.1206808
2.5435755,4.0485806
-5.05357,4.5892196
-2.0406058,0.92427003
14.551842,-3.3907428
13.450032,-2.857993
-7.083095,4.245258
14.922238,-2.7632887
13.791108,-3.370572
-4.2231092,4.55181
-0.76375633,2.6709197
-2.101471,0.59465665
2.4909897,4.0755734
-5.3681016,4.4313555
9.109138,16.048601
14.326377,-3.3216374
-3.8651416,5.11756
14.657354,-2.4143548
-0.8984695,1.5571102
8.648909,14.117727
-2.0504923,-8.039893
-4.3517885,5.222312
8.867217,14.534535
-1.7023491,0.93979186
-3.8276186,3.7023995
13.344937,-2.2401855
13.269287,-2.4968967
-2.43859,4.309686
8.864632,-2.3590164
-0.750942,2.0074012
8.785982,14.243116
8.669102,-2.6873786
7.414433,4.8295803
-4.5447607,5.177872
6.4047837,4.3756714
15.440577,-3.9832954
11.58673,-2.1605704
-2.1117072,-7.502166
-2.6458797,1.0717776
-5.016944,4.2299914
10.061788,-1.934527
14.294589,-3.1753533
-0.5966041,1.6985908
3.4417384,4.3931556
9.241328,-0.7646447
-2.6223395,0.8493272
-0.2732667,1.0955694
7.35843,4.7060504
6.773921,-0.30914944
14.545606,-3.2996793
-0.978038,1.8219823
8.354045,-1.287819
-2.0411723,0.33186004
7.8690305,-1.5202552
-2.0798347,0.8430166
2.2412796,4.019537
-5.336486,4.835052
-3.4528549,4.0658326
-1.4178483,-7.8607945
10.615538,-2.2559986
5.091544,1.1783627
13.2441225,-2.5732296
10.415911,-1.7575283
5.8826375,0.5179501
-5.15405,3.8398275
2.5237172,10.530661
-1.9859265,-8.409186
8.608896,-2.1639311
-1.0015248,0.8947153
-1.4909356,-7.810611
-4.238859,4.1141305
-0.51533836,1.8993254
-2.315881,1.7464445
-1.2542312,-0.7936382
-4.097949,4.1305795
-4.5904803,4.601978
13.596872,-2.7085752
14.160122,-3.4696977
-1.5628167,0.6160434
-1.7764866,1.679898
2.5308757,10.524454
9.686909,-1.6264559
15.335666,-3.0775566
13.516815,-3.3847191
10.990631,-2.3734372
1.5845841,3.98445
2.3116586,10.278256
10.429884,-2.0864148
6.3908453,4.3506513
6.551275,4.347626
-1.7075782,-8.092203
-5.083485,4.60514
8.471994,-1.3407159
10.421202,-2.373233
8.049612,-1.3401868
-5.008923,5.2901344
